Advance_Syracuse.com_iPhone|advsyra|3165|syracuse.com|3215|Advance Internet|23|iPhone News Client|N/A|
Al Jazeera_Al Jazeera English_san diego|aljen|2805|Al Jazeera English|2882|Al Jazeera|4|Partner Portal|N/A|
Al Jazeera_Al Jazeera_Mobile|aljar|2806|Al Jazeera|2882|Al Jazeera|4|Partner Portal|N/A|
AlDia_Ponte Al Dia_Philadelphia|ald|2816|Ponte Al Dia|2896|AlDia|4|Partner Portal|N/A|
Alternative Newsweeklies_Al Borde_Mobile|alborde|1|Al Borde|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_BMore Live_Mobile|bmore|41|BMore Live|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Charleston City Paper_Mobile|ccp|86|Charleston City Paper|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_East Bay Express_Mobile|ebe|2199|East Bay Express|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Independent Weekly_Mobile|iw|60|Independent Weekly|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Isthmus Daily Page_Mobile|tdp|159|Isthmus Daily Page|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Jackson Free Press_Mobile|jfp|56|Jackson Free Press|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Long Island Press_Mobile|lip|207|Long Island Press|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_NUVO_Mobile|nuvo|76|NUVO|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Pittsburgh City Paper_Mobile|cp|121|Pittsburgh City Paper|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_San Diego Reader_Mobile|reader|34|San Diego Reader|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_San Francisco Bay Guardian_Mobile|sfbg|25|San Francisco Bay Guardian|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_Seven Days_Mobile|7dvt|46|Seven Days|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_The Hook_Mobile|hook|74|The Hook|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_The Portland Mercury_Mobile|Portland|58|The Portland Mercury|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_The Stranger_Mobile|stranger|57|The Stranger|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
Alternative Newsweeklies_YES! Weekly Magazine_Mobile|yes|2254|YES! Weekly Magazine|2198|Alternative Newsweeklies|4|Partner Portal|N/A|
AP Beta_AP Beta_Mobile|apbeta|3504|AP Beta|3607|AP Beta|4|Partner Portal|N/A|
AP International|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
AP iPhone App|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
AP Mobile Web|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
AP Other|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
AP_AP News_New York|ap|238|AP News|2214|AP|4|Partner Portal|N/A|
AP_AP Noticias_New York|mnnes|2510|AP Noticias|2214|AP|4|Partner Portal|N/A|
AP_APNEWS_MEEGO|ap|238|AP News|2214|AP|4|Partner Portal|N/A|
AP_APNEWS_Windows7|ap|238|AP News|2214|AP|4|Partner Portal|N/A|
AP_Election08_Mobile|apelect|2236|Election08|2214|AP|4|Partner Portal|N/A|
AP_Virgin Mobile - AP CUBI_Mobile|vmcubi|2334|Virgin Mobile - AP CUBI|2214|AP|4|Partner Portal|N/A|
AP_Virgin Mobile - AP Entertainment_Mobile|vment|2335|Virgin Mobile - AP Entertainment|2214|AP|4|Partner Portal|N/A|
ARLnow.com_ARLnow.com_Mobile|arl|3550|ARLnow.com|3753|arlnow.com|4|Partner Portal|N/A|
ASP Westward_Cypress Creek Mirror|cypresscreek|3764|Cypress Creek Mirror|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_HS Gridiron|hsgridiron|3771|HS Gridiron|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Atascocita News|atascocita|3759|Your Atascocita News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Bay Area News|yourbayarea|3760|Your Bay Area News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Bellaire News|bellairenews|3761|Your Bellaire News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Cleveland News|clevelandnews|3762|Your Cleveland News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Conroe News|conroenews|3763|Your Conroe News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Dayton News|daytonnews|3765|Your Dayton News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Deer Park News|deerpark|3766|Your Deer Park News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your East Montgomery News|eastmontgomery|3767|Your East Montgomery News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Eastex News|eastexnews|3768|Your Eastex News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Fort Bend News|fortbendnews|3769|Your Fort Bend News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Friendswood News|friendswood|3770|Your Friendswood News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Humble News|humblenews|3772|Your Humble News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Kingwood News|kingwoodnews|3773|Your Kingwood News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Lake Houston News|lakehouston|3774|Your Lake Houston News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Magnolia News|magnolianews|3775|Your Magnolia News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Memorial News|memorialnews|3776|Your Memorial News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Pasadena News|pasadenanews|3777|Your Pasadena News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Pearland News|pearlandnews|3778|Your Pearland News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Ranch News|yourranchnews|3779|Your Ranch News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your River Oaks News|riveroaksnews|3781|Your River Oaks News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Spring News|yourspringnews|3782|Your Spring News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your SugarLand News|sugarlandnews|3783|Your SugarLand News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Tomball News|tomballnews|3784|Your Tomball News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your West University News|westuniversity|3785|Your West University News|3879|ASP Westward|4|Partner Portal|N/A|
ASP Westward_Your Woodlands News|woodlandsnews|3786|Your Woodlands News|3879|ASP Westward|4|Partner Portal|N/A|
Bakersfield Californian_Bakersfield Californian _Bakersfield|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Bakersfield Californian_bakersfield.com Inside Guide_Mobile|ig|2403|bakersfield.com Inside Guide|2369|Bakersfield Californian|4|Partner Portal|N/A|
Bakersfield Californian_bakotopia.com_Mobile|bakotopia|2588|bakotopia.com|2369|Bakersfield Californian|4|Partner Portal|N/A|
Bakersfield Californian_Justinian Test_Mobile|stin|2587|Justinian Test|2369|Bakersfield Californian|4|Partner Portal|N/A|
Bakersfield_Bakersfield|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Bakersfield_Bakersfield_iPhone|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Barbados Today_Barbados Today_Mobile|bbt|3443|Barbados Today|3554|Barbados Today|4|Partner Portal|N/A|
Belo_Belo Test_Mobile|belotest|2773|Belo Test|2596|Belo|4|Partner Portal|N/A|
BLC_azfamily.com_Phoenix|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KENS5.com_San Antonio|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KGW_Portland|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KHOU.com_Houston|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KING5_Seattle|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KMOV_st louis|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KMSB_Tuscon|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KREM_Spokane|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KTVB_Boise|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_KVUE.com_Austin|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_WCNC_Charlotte|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_WFAA.com_Dallas|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_WHAS_Louisville|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_WVEC_Norfolk|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
BLC_WWLTV.com_New Orleans|N/A|-200|N/A (key)|-100|N/A|-200|N/A (key)|N/A|Unknown
Bowling Green Daily News_bgdailynews.com_Mobile|bgdn|2849|bgdailynews.com|2934|Bowling Green Daily News|4|Partner Portal|N/A|
BQE Media_brooklyndowntownstar.com_Maspeth|bdowntownstar|2904|brooklyndowntownstar.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_foresthillstimes.com_Maspeth|foresthills|2907|foresthillstimes.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_glendaleregister.com_Maspeth|glendale|2905|glendaleregister.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_greenpointstar.com_Maspeth|greenpointstar|2903|greenpointstar.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_leaderobserver.com_Maspeth|leaderobserver|2908|leaderobserver.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_licjournal.com_Maspeth|astoria|2906|licjournal.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_queensexaminer.com_Maspeth|queensexam|2909|queensexaminer.com|3046|BQE Media|4|Partner Portal|N/A|
BQE Media_queensledger.com_Maspeth|queensledger|2902|queensledger.com|3046|BQE Media|4|Partner Portal|N/A|
BQE MediaSite_Holiday Inn Manhattan View_Mobile|HIMV|3674|Holiday Inn Manhattan View|3046|BQE Media|4|Partner Portal|N/A|
Calkins Media_Bucks County Courier Time|buckscountyct|3811|Bucks County Courier Times|3929|Calkins Media|4|Partner Portal|N/A|
Calkins Media_Burlington County Times|burlingtonct|3809|Burlington County Times|3929|Calkins Media|4|Partner Portal|N/A|
Calkins Media_Intelligencer|intelligencer|3812|Intelligencer|3929|Calkins Media|4|Partner Portal|N/A|
Calkins Media_phillyburbs.com|phillyburbs|3810|phillyburbs.com|3929|Calkins Media|4|Partner Portal|N/A|
Canadian Press_Canadian Press_Toronto|cpe|2502|Canadian Press|2539|Canadian Press|4|Partner Portal|N/A|
Canadian Press_CP|cpe|2502|Canadian Press|2539|Canadian Press|4|Partner Portal|N/A|
Canadian Press_Nouvelles Sans Fil_Toronto|cpf|2503|Nouvelles Sans Fil|2539|Canadian Press|4|Partner Portal|N/A|
Center for Media Innovation_Dixie U_iPhone|dixieu|3530|Dixie U|3632|Center for Media Innovation|23|iPhone News Client|N/A|
Center for Media Innovation_Dixie U_Mobile|dixieu|3530|Dixie U|3632|Center for Media Innovation|4|Partner Portal|N/A|
Center for Media Innovation_Dixie_Android|dixieu|3530|Dixie U|3632|Center for Media Innovation|38|Android News Client|N/A|
Center for Media Innovation_DixieU_Mobile|dixieu|3530|Dixie U|3632|Center for Media Innovation|4|Partner Portal|N/A|
Chambers Communications_KDRV_Android|kdrv|3717|KDRV NewsWatch 12|3831|Chambers Communications, Inc.|38|Android News Client|N/A|
Chambers Communications_KDRV_iPhone|kdrv|3717|KDRV NewsWatch 12|3831|Chambers Communications, Inc.|23|iPhone News Client|N/A|
Chambers Communications_KEZI_ Android|kezi|3716|KEZI 9 News|3831|Chambers Communications, Inc.|38|Android News Client|N/A|
Chambers Communications_KEZI_iPhone|kezi|3716|KEZI 9 News|3831|Chambers Communications, Inc.|23|iPhone News Client|N/A|
ChambersCommunications_KDRV_WAP|kdrv|3717|KDRV NewsWatch 12|3831|Chambers Communications, Inc.|4|Partner Portal|N/A|
ChambersCommunications_KEZI_WAP|kezi|3716|KEZI 9 News|3831|Chambers Communications, Inc.|4|Partner Portal|N/A|
Chicago Sun Times www.HighlandPark-News.com|highland|3585|HighlandPark-News.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Beacon News_Aurora|beacon|2770|Beacon News|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Beaconnewsonline.com_Mobile|beacon|2770|Beacon News|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Centerstagechicago.com_Mobile|centerstage|3551|centerstagechicago.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Chicago Sun Times_Chicago|suntimes|2380|Chicago Sun Times|2409|Chicago Sun Times|1|Verizon Wireless|N/A|
Chicago Sun Times_Chicago Sun-Times: Test Site_Mobile|suntimesdemo|2372|Chicago Sun-Times: Test Site|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Courier News_Elgin|elgin|2769|Courier News|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Couriernewsonline.com_Mobile|elgin|2769|Courier News|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Glenview-Announcements.com_Mobile|Glenview|3584|Glenview-Announcements.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_HeraldNewsOnline.com_Joliet|joliet|2795|HeraldNewsOnline.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Heraldnewsonline.com_Mobile|joliet|2795|HeraldNewsOnline.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_HighlandPark-News.com_Mobile|highland|3585|HighlandPark-News.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Lake-Forester.com_Mobile|lakeforester|3582|Lake-Forester.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_LakeZurich-Courier.com_Mobile|lakezurich|3581|LakeZurich-Courier.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Examiner_Chico CA_Chico|exChico|3008|Chico CA|2636|Examiner|18|Examiner.com|N/A|
Chicago Sun Times_Libertyville-Review.com_Mobile|libertyville|3580|Libertyville-Review.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Lincolnshire-Review.com_Mobile|lincolnshire|3579|Lincolnshire-Review.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Lincolnwood-Review.com_Mobile|lincolnwood|3578|Lincolnwood-Review.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_MortonGrove-Champion.com_Mobile|mortongrove|3577|MortonGrove-Champion.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Mundelein-Review.com_Mobile|mundelein|3576|Mundelein-Review.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Napersun.com_Mobile|naperville|2771|Naperville Sun|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Naperville Sun_Naperville|naperville|2771|Naperville Sun|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_Newssunonline.com_Mobile|newssun|2798|NewsSunOnline.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_NewsSunOnline.com_Waukegan|newssun|2798|NewsSunOnline.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
Chicago Sun Times_NilesHerald-Spectator.com_Mobile|nilesherald|3575|NilesHerald-Spectator.com|2409|Chicago Sun Times|4|Partner Portal|N/A|
