57|31|Advanced Internet, Michigan|Michigan deck for Advance Internet|3192|0|f|f|f|338988|2010-06-15 23:00:17.282779|2010-07-19 17:00:16.820258|Advance Internet, Michigan|Michigan deck for Advance Internet|aimi
63|35|MySuburbanLife.com|MySuburbanLife portal|3372|0|f|f|f|351216|2010-07-27 22:31:20.409412|9999-12-31 00:00:00|MySuburbanLife.com|MySuburbanLife portal|msl
64|36|iPad News Client|Native iPad news client.|85|0|f|f|f|355658|2010-08-11 13:00:17.973074|9999-12-31 00:00:00|iPad News Client|Native iPad news client.|ipad
68|39|T-Mobile AP|T-Mobile AP|85|0|f|f|f|385945|2010-11-18 09:30:48.079616|9999-12-31 00:00:00|T-Mobile AP|T-Mobile AP|tmap
70|37|AP MeeGo Client|AP MNN MeeGo client.|238|0|f|f|f|490445|2011-05-24 03:32:00.914052|9999-12-31 00:00:00|AP MeeGo Client|AP MNN MeeGo client.|apmg
65|37|AP MeeGo|AP MNN MeeGo client.|238|0|f|f|f|356242|2010-08-13 11:00:17.60565|2011-05-24 03:31:59.914052|AP MeeGo Client|AP MNN MeeGo client.|apmg
72|41|ASP Westward|ASP Westward portal|3833|0|f|f|f|665077|2011-12-13 05:30:54.074772|9999-12-31 00:00:00|ASP Westward|ASP Westward portal|aspw
73|42|Southwest Iowa News|Southwest Iowa News portal|4052|1|f|f|f|924630|2012-04-09 00:46:01.396038|9999-12-31 00:00:00|Southwest Iowa News|Southwest Iowa News portal|swin
74|10|AP FreeRange BlackBerry Client|AP FreeRange BlackBerry Client|238|0|f|f|f|1016799|2012-06-05 12:45:54.204247|9999-12-31 00:00:00|AP FreeRange BlackBerry Client|AP FreeRange BlackBerry Client|apfr
39|10|AP BlackBerry Client|AP MNN native BlackBerry client.|238|0|f|f|f|117251|2009-04-09 23:15:09.83029|2012-06-05 12:45:53.204247|AP FreeRange BlackBerry Client|AP FreeRange BlackBerry Client|apfr
